,Title,Generation,
10,"Putin and Xi are using the coronavirus crisis to extend their control. Across the world, Trump is struggling to keep up","['.  In the wake of the coronavirus crisis, both Russian President Vladimir Putin and Chinese President Xi Jinping have used the crisis as an opportunity to further their control and extend their international influence. Putin has been pushing a nationalist agenda, highlighting the shortcomings of Western democracies and claiming that Russia is a leader in the medical and economic fields. Meanwhile, Xi has used his country’s initial containment of the outbreak to bolster his image as a strong leader, and has been aggressively publicizing China’s role in providing medical and economic assistance to other countries.  In comparison, US President Donald Trump has been struggling to keep up in the face of the crisis. While the US has been slow to address the outbreak and has failed to contain it successfully compared to other countries, Trump has sought to downplay the impact of the crisis and overly focused on his own re-election campaign. This has made it difficult for the US to maintain its traditionally strong international leadership role..  Putin and Xi are taking advantage of the coronavirus crisis to extend their control over their respective countries and beyond. As the disease continues to spread, these leaders are using the pandemic to gain power and influence by silencing domestic dissent, extending their influence in international affairs, and reaping the economic benefits of their government-led efforts to tackle the virus.  Meanwhile, President Donald Trump of the United States is struggling to keep apace. While the American economy and international relations is being damaged by the pandemic, Trump is largely absent from the international response, neglecting to form a coalition and provide global leadership. He has instead chosen to become embroiled in internal fights with Congress, the courts, and local governments, making it difficult for the US to have any significant impact in the coronavirus crisis.']",
11,How this South Korean company created coronavirus test kits in three weeks,"['South Korean diagnostics company, Seegene, worked closely with the Korean Centers for Disease Control and Prevention (KCDC) to create a coronavirus test kit that would enable quick detection of the virus within three weeks. The test kit is called Allplex™ SARS-CoV-2 and it can detect the virus in a single patient sample in as little as 15 minutes.  The company leveraged its proprietary Multiplex Amplification technology to allow for testing of multiple targets in a single testing process. The company also used its expertise in biochip technology to allow for rapid and accurate testing results.  To ensure the accuracy of the test kits, Seegene used the KCDC’s SARS-CoV-2 RNA sequence as a reference. Furthermore, they compared and tracked the sensitivity and specificity of their tests against the KCDC and other international reference samples.  Seegene also provided prompt delivery of the test kits to the KCDC and various hospitals, along with necessary training and technical support to ensure efficient use of the kits. The kits were also made available to other countries in need, a testament to the company’s commitment to fighting the pandemic.  South Korean company SD Biosensor developed and launched coronavirus test kits in three weeks by combining their existing technology with new knowledge about the virus. They used a “real-time reverse-transcription polymerase chain reaction” test to quickly generate results and made sure that the test had a high sensitivity rate of 97.5%. They also used their existing supply chain and production lines in order to make the process more efficient and quick.']",
12,The 30 most troubling lines from Donald Trump's latest news conference on coronavirus,"['1. “I don’t take responsibility at all”  2. “The virus will disappear. I have a feeling it's going to disappear.”  3. ""I don't take anything off the table — meaning I'd love to have it open by Easter.""  4. “We’re doing a lot of things that nobody even thought of, nobody even knew of, to make it safe.”  5. “I’m not looking at the negative. I’m looking at the positive.”  6. “We have to open our country again. We can’t keep it closed for the next five years.”  7. “I’m not a doctor. I’m not a medical person. But I have common sense.”  8. “Plenty of administrations have made mistakes. We can’t let this administration be blamed.”  9. “If you look at other countries like South Korea, they tested and they tested. That’s one thing we could have done better.”  10. “They said in theory it could take two months for the virus to go away. I don't think that's right.”  11. “We have to get the country open again. We can’t keep it closed.”  12. “We do have a lot of things under consideration. But I just think it’s a very tough decision.”  13. “I don’t think anything could have been done any differently.”  14. “The Chinese virus, is what I call it, it’s very tough.”  15. “People don’t understand, this is a very contagious virus.”  16. “I think the states have to do their job.”  17. “I will the one that decides when we open.”  18. “I just think I have a natural ability. We’re doing a great job on it.”  19.']",
13,Coronavirus could hurt Boeing more than the 737 Max crisis,"['The coronavirus (COVID-19) crisis could be more damaging to Boeing than the 737 Max crisis. The company is facing a prolonged downturn in air travel, which is expected to have a major effect on aircraft orders, production, and employment. The company has already laid off some workers, and more could be on the way. The Boeing 737 Max had been grounded since March 2019, leading to a huge loss of orders and revenue. The 737 Max will eventually return to service, but the coronavirus has the potential to be more devastating to Boeing. It could take much longer for air travel to rebound and aircraft orders to return to previous levels, and the effects of the virus could be felt for years.  It is possible that the Coronavirus crisis could hurt Boeing more than the 737 Max crisis. The Coronavirus crisis is causing a global slowdown in air travel, with governments from all over the world implementing restrictions on travel and airlines reducing or suspending routes. This has had a major impact on the airline industry, with airlines suspending orders for new aircraft, deferring delivery of aircraft on order, returning leased aircraft early and cutting capacity. As a result, Boeing’s backlog of orders has decreased significantly, and there is uncertainty about the timing of any future orders. Boeing is also facing other costs associated with the Coronavirus crisis such as production disruption due to factory closures and decreased demand for parts and components. In the 737 Max crisis, while Boeing was facing significant reputational damage and heavy financial losses due to the grounding of its planes, the situation was somewhat contained and isolated to the airline industry. With the Coronavirus crisis, the impact on Boeing’s operations is much more wide-reaching, and the company may be facing an even greater financial burden than it did in the 737 Max crisis.']",
14,Hong Kong protests: How unrest criminalized a generation,"['The Hong Kong protests that began in June of 2019 have seen a generation of young Hong Kongers criminalized as the Hong Kong government has cracked down on protesters with increasingly severe punishments for those accused of offenses. The government has used harsh tactics to try and curb the protests, including a ban on face masks and new “anti-mask” laws that make wearing one a criminal offense, as well as introducing legislation that could see people extradited to mainland China and facing life in prison for peaceful protest activities.  Many of the young protesters, who are mostly students in their teens and twenties, face serious charges in court and are being prosecuted as adults, regardless of their age. This has led to concerns that the government is criminalizing an entire generation of Hong Kongers for peacefully exercising their right to protest.  The Hong Kong government has also been accused of using heavy-handed tactics to suppress the protests and the underlying movement for democracy, with police using tear gas, rubber bullets, and pepper spray to disperse protesters. Many protesters have been injured or killed and hundreds have been arrested and have faced lengthy prison sentences.  The impact on Hong Kong’s youth is far-reaching, with many protesters and bystanders facing psychological abuse, long-term trauma, and lasting financial and legal troubles. Families have been torn apart as parents try to keep their children safe, and some young protesters have been forced into exile.  The effects of the protests and the government’s response may have a lasting and damaging impact on the next generation of Hong Kongers, as they are increasingly criminalized, vilified, and punished for standing up against their government.']",
15,Christmas in Hong Kong marked by demonstrations and tear gas,"['Christmas in Hong Kong was marked by huge protests and clashes with police. Tens of thousands of demonstrators took to the streets in some of the most intense protests seen in the city this year. The protests, which began in June in response to a controversial extradition bill, have since become an outpouring of public anger over Beijing’s encroachment on the semi-autonomous city.  Police used tear gas and rubber bullets to disperse the crowds, and dozens of people were arrested. The protests have seen multiple injuries and even the death of a 22-year-old student.  The demonstrations come at a time of heightened tension and political upheaval in Hong Kong as the city’s long-time leader, Carrie Lam, is struggling to keep control over the freewheeling financial hub and maintain order after protests against her government have become increasingly violent.  Despite the unrest, many in the city are still trying to celebrate the holiday season. Many stores have gone all out with decorations (although much fewer compared to normal) and there have been some Christmas carol events to bring cheer to the city.  Christmas in Hong Kong was marked by mass demonstrations and the use of tear gas by police to disperse protesters. Tens of thousands of protesters marched through the streets of the city to express their opposition to the government and its pro-China policies. The police responded with tear gas and rubber bullets as protesters sought to march past barricades and occupy public spaces.  The protests, which began in June, have escalated in recent weeks as the government has moved forward with a controversial national security law and proposed changes to electoral rules that activists fear would further erode the city’s autonomy and rights.  The protests have shown no sign of letting up, despite the government’s attempts to clamp down on them. Many protesters were undeterred by the police’s use of force and the looming threat of a national security law. Some demonstrators held Christmas-themed signs and banners, and the mood was generally festive.  At the same time, the demonstrations underscored the deep divisions in the city. Supporters of the Hong Kong government and pro-Beijing groups held counter-protests throughout the city, as did more moderate citizens who wanted to make their voices heard without taking part in the protests.  The demonstrations on Christmas Day show that the pro-democracy movement in Hong Kong is still strong. Although it may be difficult to predict what will happen in the coming months, it is clear that the protests are likely to continue into the new year.']",
16,New arts district aims to brighten Chennai community's dark reputation,"['A new arts district in the city of Chennai is aiming to brighten the city’s dark reputation and give locals and visitors access to a vibrant creative scene. Spanning more than 170 acres, the $50 million project features four distinct zones that are designed to bring together the performing, visual, cinematic and literary arts.  The project, which has been in the works for several years, is an effort to revitalize the city’s cultural landscape and attract more visitors from around the world. The four zones of the arts district will feature professional theaters, galleries, cinemas, museums and libraries, as well as performance and rehearsal spaces. The district will also have parks, cafes, retail stores and other amenities.  The team behind the project has worked to make sure the district appeals to both locals and tourists by ensuring it offers something for everyone. It is hoped that the district will be a welcome addition to the city and help to promote Chennai’s reputation as a place of cultural diversity and artistic expression.  The new arts district is just one of the many ways the city of Chennai is attempting to shed its negative public image and boost its appeal. With its new cultural offerings, Chennai is hoping to attract new visitors and make a name for itself as a destination for anyone looking for a creative and inspiring experience.  The Vyasarpadi area of Chennai, India, has a reputation for being an impoverished and crime-ridden area. In an effort to improve the area and its reputation, local entrepreneurs and the government are working together to establish a new arts district. This district will be centered around providing education and access to artistic endeavors for the local community. The project plans include a large multipurpose community center, studios for visual and performing arts, a park, and a restaurant. The government has already invested in infrastructure improvements, including the construction of roads, and will continue to help fund the project. In addition, private companies and individuals have contributed to the project as well.   The district aims to provide creative outlets and opportunities to people in the area, while also giving the area a much-needed boost in terms of positive public perception. With its new potential, the Vyasarpadi area has the chance to become a destination that is known for its art and culture, rather than its crime and poverty. In addition, it is hoped that the new district will provide local businesses with an economic boost, creating jobs and adding to the area's tax base. By investing in culture, the government and citizens are showing their commitment to the area and its people.   It is hoped that the Vyasarpadi arts district will help to bring new life to the area, and to ultimately change the public perception of Vyasarpadi as a dangerous and poverty-stricken place. Through the creative outlets and opportunities provided by the district, the people of Vyasarpadi can take pride in their community and its culture.']",
17,From east Paris to world fame -- how imagination and travel fueled Christian Louboutin's success,"['Christian Louboutin is a French fashion designer who rose to global fame, thanks to his innovative and stylish shoe designs. The story of his success begins in east Paris, where he grew up near the Eiffel Tower. As a young boy, he often visited the nearby theater district and was inspired by the colorful costumes and extravagant sets he saw.  This early fascination with glamour, theater, color, and travel would shape his future career. With an inherent appreciation for beauty, Louboutin began to imagine and design his own shoes. He was able to take his creative designs to the next level when he had the opportunity to travel and explore fashion destinations from the U.S. to Milan.  By combining his passion for travel and his innate knack for design, Louboutin developed a unique look for his shoes, which has landed him world-wide fame. His shoes are now instantly recognizable for their red soles, and are beloved by fashion enthusiasts from all walks of life.  Louboutin is a great example of how imagination, hard work, and the courage to explore can propel a person to global success. His journey proves that, with the right combination of talent and determination, anyone can make their dreams come true.  Christian Louboutin is a renowned French designer of luxury footwear who has achieved remarkable success both in France and around the world. Louboutin's designs combine an eye-catching aesthetic with an unparalleled level of craftsmanship, mixing traditional French style with daring and contemporary designs. His trademark red soles are now instantly recognizable, even to those who are unfamiliar with the designer's body of work.   Louboutin began his journey to success in the early 1980s, when he was living in east Paris. He was inspired by the city’s vibrant atmosphere, the street art and its multicultural diversity. He developed an interest in fashion and started designing shoes for his friends. His early designs were daring and unconventional, which quickly gained him a loyal following.   He then launched his own design firm and opened a small boutique in the city. His unique designs and daring approach to style quickly caught the attention of fashion magazines, and his shoes began to appear in their pages. As his fame grew, Louboutin was able to expand his business, opening stores in other European cities.   In the 1990s, Louboutin’s designs became increasingly popular in the United States, and he opened a boutique in Los Angeles. This was followed by stores in New York, Las Vegas, and Miami. By this point, his shoes were being worn by celebrities and designers on the red carpet, giving him further exposure.   Louboutin has also been a frequent traveler to exotic destinations around the world, such as India, Oman, and Brazil. His travels have provided him with inspiration for new designs and have enabled him to expand his business around the globe. Today, his stores can be found in over 70 countries and his shoes are worn by millions of people.   Christian Louboutin's success is a testament to the power of imagination and travel. By blending traditional French style with daring designs and expanding his business to far-reaching destinations, Louboutin has become one of the world's most recognizable and admired fashion designers.']",
18,12 famous buildings in India: From ancient wonders to modern marvels,"['1. Taj Mahal, Agra  2. Qutub Minar, Delhi  3. Gateway of India, Mumbai  4. Humayun's Tomb, Delhi  5. Red Fort, Delhi  6. Lotus Temple, Delhi  7. Charminar, Hyderabad  8. Ajanta and Ellora Caves, Aurangabad  9. Iron Pillar of Delhi  10. Bibi Ka Maqbara, Aurangabad  11. Hawa Mahal, Jaipur  12. Sun Temple, Konark  1. Taj Mahal, UP 2. India Gate, Delhi  3. Qutub Minar, Delhi 4. Red Fort, Delhi 5. Hawa Mahal, Rajasthan 6. Chhatrapati Shivaji Terminus, Mumbai 7. Charminar, Hyderabad 8. Mysore Palace, Karnataka 9. Sun Temple, Konark 10. Sanchi Stupa, MP  11. Golden Temple, Punjab 12. Padmanabhaswamy Temple, Kerala  1. Taj Mahal, Uttar Pradesh 2. Red Fort, Delhi 3. India Gate, Delhi 4. Qutb Minar, Delhi 5. Konark Sun Temple, Odisha 6. Victoria Memorial, West Bengal 7. Gateway of India, Maharashtra 8. Golden Temple, Punjab 9. Meenakshi Temple, Tamil Nadu 10. Charminar, Telangana 11. Sanchi Stupa, Madhya Pradesh 12. Jama Masjid, Delhi  1. Taj Mahal, Agra  2. Qutub Minar, New Delhi  3. Charminar, Hyderabad  4. Gateway of India, Mumbai  5. Red Fort, Delhi  6. Victoria Memorial, Kolkata  7. Akshardham Temple, New Delhi  8. Lotus Temple, New Delhi  9. Konark Sun Temple, Odisha  10. Golden Temple, Amritsar  11. Humayun’s Tomb, Delhi  12. Birla Mandir, Hyderabad  1. Taj Mahal, Agra 2. Qutub Minar, Delhi 3. Hawa Mahal, Jaipur 4. Charminar, Hyderabad 5. Golden Temple, Amritsar 6. Gateway of India, Mumbai 7. India Gate, Delhi 8. Sun Temple, Konark 9. Meenakashi Temple, Madurai 10. Sanchi Stupa, Sanchi 11. Akshardham Temple, Delhi 12. Humayun’s Tomb, Delhi']",
19,Coronavirus: Which countries have travel bans?,"['Countries around the world have imposed travel restrictions in light of the novel coronavirus pandemic. Below is a list of countries that have implemented a range of restrictions, from limited foreign entry, to outright travel bans:  - Canada  - United States  - Australia  - New Zealand  - China  - Japan  - South Korea  - France  - Germany  - United Kingdom  - Italy  - Russia  - India  - Malaysia  - Singapore  - Kuwait  - Bahrain  - Iraq  - Iran  - United Arab Emirates  - Saudi Arabia  - South Africa  - Indonesia  The countries that have implemented travel bans due to the coronavirus pandemic include China, the United Kingdom, India, Pakistan, the United States, Japan, Canada, France, Australia, New Zealand, Germany, Italy, South Korea, Kuwait, Qatar, Switzerland, the United Arab Emirates, and several other countries.  Currently, over 100 countries across the world have implemented travel bans or restrictions due to the coronavirus pandemic. These countries include the United States, China, India, France, Germany, Italy, Spain, the United Kingdom, Canada, Australia, and many other nations. Restrictions can range from complete travel bans to partial shipping restrictions, temporary suspensions of flights to and from certain countries or regions, or other protective measures.  As of May 2020, many countries around the world have some form of travel bans in place due to the coronavirus (COVID-19) pandemic. These countries include the United States, Canada, China, the United Kingdom, Australia, New Zealand, India, Japan, South Korea, Singapore, Indonesia, the Philippines, and much of the European Union. Depending on the specific country, travel bans may range anywhere from full travel restrictions to partial restrictions or advisories.']",
